region,disease_class,year,cases,region_eng,class_name,class_name_short
тульская область,9,1999,13.5,Tula Oblast,Diseases of the circulatory system,Circulatory System Diseases
ярославская область,9,1999,26.7,Yaroslavl Oblast,Diseases of the circulatory system,Circulatory System Diseases
г.москва,9,1999,18.5,Moscow,Diseases of the circulatory system,Circulatory System Diseases
северо-западный федеральный округ,9,1999,13.7,Northwestern Federal District,Diseases of the circulatory system,Circulatory System Diseases
республика карелия,9,1999,16.7,Republic of Karelia,Diseases of the circulatory system,Circulatory System Diseases
республика коми,9,1999,12.9,Komi Republic,Diseases of the circulatory system,Circulatory System Diseases
архангельская область,9,1999,16.3,Arkhangelsk Oblast (with AO),Diseases of the circulatory system,Circulatory System Diseases
вологодская область,9,1999,17.4,Vologda Oblast,Diseases of the circulatory system,Circulatory System Diseases
калининградская область,9,1999,12.3,Kaliningrad Oblast,Diseases of the circulatory system,Circulatory System Diseases
ленинградская область,9,1999,12.5,Leningrad Oblast,Diseases of the circulatory system,Circulatory System Diseases
мурманская область,9,1999,14.0,Murmansk Oblast,Diseases of the circulatory system,Circulatory System Diseases
новгородская область,9,1999,13.5,Novgorod Oblast,Diseases of the circulatory system,Circulatory System Diseases
псковская область,9,1999,12.9,Pskov Oblast,Diseases of the circulatory system,Circulatory System Diseases
г.санкт-петербург,9,1999,12.4,Saint Petersburg,Diseases of the circulatory system,Circulatory System Diseases
южный федеральный округ,9,1999,14.8,Southern Federal District,Diseases of the circulatory system,Circulatory System Diseases
республика адыгея,9,1999,15.1,Republic of Adygea,Diseases of the circulatory system,Circulatory System Diseases
республика дагестан,9,1999,14.6,Republic of Dagestan,Diseases of the circulatory system,Circulatory System Diseases
республика ингушетия,9,1999,4.1,Republic of Ingushetia,Diseases of the circulatory system,Circulatory System Diseases
кабардино-балкарская республика,9,1999,9.2,Kabardino-Balkarian Republic,Diseases of the circulatory system,Circulatory System Diseases
республика калмыкия,9,1999,13.0,Republic of Kalmykia,Diseases of the circulatory system,Circulatory System Diseases
карачаево-черкесская республика,9,1999,12.6,Karachay-Cherkess Republic,Diseases of the circulatory system,Circulatory System Diseases
республика северная осетия алания,9,1999,11.6,Republic of North Ossetia-Alania,Diseases of the circulatory system,Circulatory System Diseases
чеченская республика,9,1999,,Chechen Republic,Diseases of the circulatory system,Circulatory System Diseases
краснодарский край,9,1999,15.6,Krasnodar Krai,Diseases of the circulatory system,Circulatory System Diseases
ставропольский край,9,1999,12.4,Stavropol Krai,Diseases of the circulatory system,Circulatory System Diseases
астраханская область,9,1999,18.6,Astrakhan Oblast,Diseases of the circulatory system,Circulatory System Diseases
волгоградская область,9,1999,14.0,Volgograd Oblast,Diseases of the circulatory system,Circulatory System Diseases
ростовская область,9,1999,17.8,Rostov Oblast,Diseases of the circulatory system,Circulatory System Diseases
приволжский федеральный округ,9,1999,18.4,Volga Federal District,Diseases of the circulatory system,Circulatory System Diseases
республика башкортостан,9,1999,19.1,Republic of Bashkortostan,Diseases of the circulatory system,Circulatory System Diseases
республика марий эл,9,1999,13.9,Mari El Republic,Diseases of the circulatory system,Circulatory System Diseases
республика мордовия,9,1999,19.0,Republic of Mordovia,Diseases of the circulatory system,Circulatory System Diseases
республика татарстан,9,1999,21.8,Republic of Tatarstan,Diseases of the circulatory system,Circulatory System Diseases
удмуртская республика,9,1999,12.4,Udmurt Republic,Diseases of the circulatory system,Circulatory System Diseases
чувашская республика,9,1999,22.8,Chuvash Republic,Diseases of the circulatory system,Circulatory System Diseases
кировская область,9,1999,14.1,Kirov Oblast,Diseases of the circulatory system,Circulatory System Diseases
нижегородская область,9,1999,16.0,Nizhny Novgorod Oblast,Diseases of the circulatory system,Circulatory System Diseases
оренбургская область,9,1999,24.0,Orenburg Oblast,Diseases of the circulatory system,Circulatory System Diseases
пензенская область,9,1999,23.2,Penza Oblast,Diseases of the circulatory system,Circulatory System Diseases
пермская область,9,1999,14.8,Perm Oblast,Diseases of the circulatory system,Circulatory System Diseases
самарская область,9,1999,17.2,Samara Oblast,Diseases of the circulatory system,Circulatory System Diseases
саратовская область,9,1999,20.3,Saratov Oblast,Diseases of the circulatory system,Circulatory System Diseases
ульяновская область,9,1999,16.8,Ulyanovsk Oblast,Diseases of the circulatory system,Circulatory System Diseases
уральский федеральный округ,9,1999,14.8,Ural Federal District,Diseases of the circulatory system,Circulatory System Diseases
курганская область,9,1999,18.5,Kurgan Oblast,Diseases of the circulatory system,Circulatory System Diseases
свердловская область,9,1999,11.8,Sverdlovsk Oblast,Diseases of the circulatory system,Circulatory System Diseases
тюменская область,9,1999,18.7,Tyumen Oblast (with AO),Diseases of the circulatory system,Circulatory System Diseases
челябинская область,9,1999,14.0,Chelyabinsk Oblast,Diseases of the circulatory system,Circulatory System Diseases
сибирский федеральный округ,9,1999,17.3,Siberian Federal District,Diseases of the circulatory system,Circulatory System Diseases
республика алтай,9,1999,21.9,Altai Republic,Diseases of the circulatory system,Circulatory System Diseases
республика бурятия,9,1999,11.2,Republic of Buryatia,Diseases of the circulatory system,Circulatory System Diseases
республика тыва,9,1999,11.8,Republic of Tuva,Diseases of the circulatory system,Circulatory System Diseases
республика хакасия,9,1999,12.5,Republic of Khakassia,Diseases of the circulatory system,Circulatory System Diseases
алтайский край,9,1999,40.3,Altai Krai,Diseases of the circulatory system,Circulatory System Diseases
красноярский край,9,1999,12.6,Krasnoyarsk Krai,Diseases of the circulatory system,Circulatory System Diseases
иркутская область,9,1999,14.4,Irkutsk Oblast,Diseases of the circulatory system,Circulatory System Diseases
кемеровская область,9,1999,12.0,Kemerovo Oblast,Diseases of the circulatory system,Circulatory System Diseases
новосибирская область,9,1999,13.7,Novosibirsk Oblast,Diseases of the circulatory system,Circulatory System Diseases
омская область,9,1999,18.9,Omsk Oblast,Diseases of the circulatory system,Circulatory System Diseases
томская область,9,1999,16.7,Tomsk Oblast,Diseases of the circulatory system,Circulatory System Diseases
читинская область,9,1999,12.5,Chita Oblast,Diseases of the circulatory system,Circulatory System Diseases
дальневосточный федеральный округ,9,1999,13.2,Far Eastern Federal District,Diseases of the circulatory system,Circulatory System Diseases
республика саха (якутия),9,1999,12.3,Sakha Republic (Yakutia),Diseases of the circulatory system,Circulatory System Diseases
приморский край,9,1999,13.6,Primorsky Krai,Diseases of the circulatory system,Circulatory System Diseases
хабаровский край,9,1999,13.5,Khabarovsk Krai,Diseases of the circulatory system,Circulatory System Diseases
амурская область,9,1999,10.8,Amur Oblast,Diseases of the circulatory system,Circulatory System Diseases
камчатская область,9,1999,14.5,Kamchatka Oblast,Diseases of the circulatory system,Circulatory System Diseases
магаданская область,9,1999,12.9,Magadan Oblast,Diseases of the circulatory system,Circulatory System Diseases
сахалинская область,9,1999,17.1,Sakhalin Oblast,Diseases of the circulatory system,Circulatory System Diseases
еврейская автономная область,9,1999,10.0,Jewish Autonomous Oblast,Diseases of the circulatory system,Circulatory System Diseases
чукотский автономный округ,9,1999,9.6,Chukotka Autonomous Okrug,Diseases of the circulatory system,Circulatory System Diseases
российская федерация,10,1999,303.5,Russian Federation,Diseases of the respiratory system,Respiratory Diseases
центральный федеральный округ,10,1999,341.1,Central Federal District,Diseases of the respiratory system,Respiratory Diseases
белгородская область,10,1999,261.9,Belgorod Oblast,Diseases of the respiratory system,Respiratory Diseases
брянская область,10,1999,296.0,Bryansk Oblast,Diseases of the respiratory system,Respiratory Diseases
владимирская область,10,1999,378.9,Vladimir Oblast,Diseases of the respiratory system,Respiratory Diseases
воронежская область,10,1999,215.1,Voronezh Oblast,Diseases of the respiratory system,Respiratory Diseases
ивановская область,10,1999,358.8,Ivanovo Oblast,Diseases of the respiratory system,Respiratory Diseases
калужская область,10,1999,363.2,Kaluga Oblast,Diseases of the respiratory system,Respiratory Diseases
костромская область,10,1999,306.7,Kostroma Oblast,Diseases of the respiratory system,Respiratory Diseases
курская область,10,1999,241.1,Kursk Oblast,Diseases of the respiratory system,Respiratory Diseases
липецкая область,10,1999,352.4,Lipetsk Oblast,Diseases of the respiratory system,Respiratory Diseases
московская область,10,1999,331.4,Moscow Oblast,Diseases of the respiratory system,Respiratory Diseases
орловская область,10,1999,324.3,Oryol Oblast,Diseases of the respiratory system,Respiratory Diseases
рязанская область,10,1999,300.1,Ryazan Oblast,Diseases of the respiratory system,Respiratory Diseases
смоленская область,10,1999,327.5,Smolensk Oblast,Diseases of the respiratory system,Respiratory Diseases
тамбовская область,10,1999,298.6,Tambov Oblast,Diseases of the respiratory system,Respiratory Diseases
тверская область,10,1999,327.7,Tver Oblast,Diseases of the respiratory system,Respiratory Diseases
тульская область,10,1999,281.6,Tula Oblast,Diseases of the respiratory system,Respiratory Diseases
ярославская область,10,1999,458.5,Yaroslavl Oblast,Diseases of the respiratory system,Respiratory Diseases
г.москва,10,1999,422.1,Moscow,Diseases of the respiratory system,Respiratory Diseases
северо-западный федеральный округ,10,1999,344.0,Northwestern Federal District,Diseases of the respiratory system,Respiratory Diseases
республика карелия,10,1999,403.0,Republic of Karelia,Diseases of the respiratory system,Respiratory Diseases
республика коми,10,1999,472.1,Komi Republic,Diseases of the respiratory system,Respiratory Diseases
архангельская область,10,1999,386.5,Arkhangelsk Oblast (with AO),Diseases of the respiratory system,Respiratory Diseases
вологодская область,10,1999,386.6,Vologda Oblast,Diseases of the respiratory system,Respiratory Diseases
калининградская область,10,1999,266.2,Kaliningrad Oblast,Diseases of the respiratory system,Respiratory Diseases
ленинградская область,10,1999,280.1,Leningrad Oblast,Diseases of the respiratory system,Respiratory Diseases
мурманская область,10,1999,389.9,Murmansk Oblast,Diseases of the respiratory system,Respiratory Diseases
новгородская область,10,1999,348.9,Novgorod Oblast,Diseases of the respiratory system,Respiratory Diseases
псковская область,10,1999,255.2,Pskov Oblast,Diseases of the respiratory system,Respiratory Diseases
г.санкт-петербург,10,1999,320.9,Saint Petersburg,Diseases of the respiratory system,Respiratory Diseases
южный федеральный округ,10,1999,235.8,Southern Federal District,Diseases of the respiratory system,Respiratory Diseases
республика адыгея,10,1999,200.0,Republic of Adygea,Diseases of the respiratory system,Respiratory Diseases
республика дагестан,10,1999,198.9,Republic of Dagestan,Diseases of the respiratory system,Respiratory Diseases
республика ингушетия,10,1999,68.1,Republic of Ingushetia,Diseases of the respiratory system,Respiratory Diseases
кабардино-балкарская республика,10,1999,130.4,Kabardino-Balkarian Republic,Diseases of the respiratory system,Respiratory Diseases
республика калмыкия,10,1999,306.5,Republic of Kalmykia,Diseases of the respiratory system,Respiratory Diseases
карачаево-черкесская республика,10,1999,157.7,Karachay-Cherkess Republic,Diseases of the respiratory system,Respiratory Diseases
республика северная осетия алания,10,1999,228.5,Republic of North Ossetia-Alania,Diseases of the respiratory system,Respiratory Diseases
чеченская республика,10,1999,,Chechen Republic,Diseases of the respiratory system,Respiratory Diseases
краснодарский край,10,1999,210.0,Krasnodar Krai,Diseases of the respiratory system,Respiratory Diseases
ставропольский край,10,1999,235.7,Stavropol Krai,Diseases of the respiratory system,Respiratory Diseases
астраханская область,10,1999,272.7,Astrakhan Oblast,Diseases of the respiratory system,Respiratory Diseases
волгоградская область,10,1999,284.5,Volgograd Oblast,Diseases of the respiratory system,Respiratory Diseases
ростовская область,10,1999,283.6,Rostov Oblast,Diseases of the respiratory system,Respiratory Diseases
приволжский федеральный округ,10,1999,313.2,Volga Federal District,Diseases of the respiratory system,Respiratory Diseases
республика башкортостан,10,1999,310.8,Republic of Bashkortostan,Diseases of the respiratory system,Respiratory Diseases
республика марий эл,10,1999,300.8,Mari El Republic,Diseases of the respiratory system,Respiratory Diseases
республика мордовия,10,1999,209.1,Republic of Mordovia,Diseases of the respiratory system,Respiratory Diseases
республика татарстан,10,1999,293.3,Republic of Tatarstan,Diseases of the respiratory system,Respiratory Diseases
удмуртская республика,10,1999,343.9,Udmurt Republic,Diseases of the respiratory system,Respiratory Diseases
чувашская республика,10,1999,259.3,Chuvash Republic,Diseases of the respiratory system,Respiratory Diseases
кировская область,10,1999,311.4,Kirov Oblast,Diseases of the respiratory system,Respiratory Diseases
нижегородская область,10,1999,365.8,Nizhny Novgorod Oblast,Diseases of the respiratory system,Respiratory Diseases
оренбургская область,10,1999,274.8,Orenburg Oblast,Diseases of the respiratory system,Respiratory Diseases
пензенская область,10,1999,315.8,Penza Oblast,Diseases of the respiratory system,Respiratory Diseases
пермская область,10,1999,347.5,Perm Oblast,Diseases of the respiratory system,Respiratory Diseases
самарская область,10,1999,345.0,Samara Oblast,Diseases of the respiratory system,Respiratory Diseases
саратовская область,10,1999,275.5,Saratov Oblast,Diseases of the respiratory system,Respiratory Diseases
ульяновская область,10,1999,313.7,Ulyanovsk Oblast,Diseases of the respiratory system,Respiratory Diseases
уральский федеральный округ,10,1999,308.2,Ural Federal District,Diseases of the respiratory system,Respiratory Diseases
курганская область,10,1999,266.5,Kurgan Oblast,Diseases of the respiratory system,Respiratory Diseases
свердловская область,10,1999,264.1,Sverdlovsk Oblast,Diseases of the respiratory system,Respiratory Diseases
тюменская область,10,1999,360.7,Tyumen Oblast (with AO),Diseases of the respiratory system,Respiratory Diseases
челябинская область,10,1999,329.9,Chelyabinsk Oblast,Diseases of the respiratory system,Respiratory Diseases
сибирский федеральный округ,10,1999,267.2,Siberian Federal District,Diseases of the respiratory system,Respiratory Diseases
республика алтай,10,1999,299.3,Altai Republic,Diseases of the respiratory system,Respiratory Diseases
республика бурятия,10,1999,169.2,Republic of Buryatia,Diseases of the respiratory system,Respiratory Diseases
республика тыва,10,1999,236.4,Republic of Tuva,Diseases of the respiratory system,Respiratory Diseases
республика хакасия,10,1999,245.8,Republic of Khakassia,Diseases of the respiratory system,Respiratory Diseases
алтайский край,10,1999,320.2,Altai Krai,Diseases of the respiratory system,Respiratory Diseases
красноярский край,10,1999,248.6,Krasnoyarsk Krai,Diseases of the respiratory system,Respiratory Diseases
иркутская область,10,1999,286.3,Irkutsk Oblast,Diseases of the respiratory system,Respiratory Diseases
кемеровская область,10,1999,269.5,Kemerovo Oblast,Diseases of the respiratory system,Respiratory Diseases
новосибирская область,10,1999,259.2,Novosibirsk Oblast,Diseases of the respiratory system,Respiratory Diseases
омская область,10,1999,293.7,Omsk Oblast,Diseases of the respiratory system,Respiratory Diseases
томская область,10,1999,284.8,Tomsk Oblast,Diseases of the respiratory system,Respiratory Diseases
читинская область,10,1999,202.5,Chita Oblast,Diseases of the respiratory system,Respiratory Diseases
дальневосточный федеральный округ,10,1999,270.5,Far Eastern Federal District,Diseases of the respiratory system,Respiratory Diseases
республика саха (якутия),10,1999,332.1,Sakha Republic (Yakutia),Diseases of the respiratory system,Respiratory Diseases
приморский край,10,1999,235.4,Primorsky Krai,Diseases of the respiratory system,Respiratory Diseases
хабаровский край,10,1999,282.6,Khabarovsk Krai,Diseases of the respiratory system,Respiratory Diseases
амурская область,10,1999,191.2,Amur Oblast,Diseases of the respiratory system,Respiratory Diseases
камчатская область,10,1999,342.3,Kamchatka Oblast,Diseases of the respiratory system,Respiratory Diseases
магаданская область,10,1999,339.7,Magadan Oblast,Diseases of the respiratory system,Respiratory Diseases
сахалинская область,10,1999,321.1,Sakhalin Oblast,Diseases of the respiratory system,Respiratory Diseases
еврейская автономная область,10,1999,216.8,Jewish Autonomous Oblast,Diseases of the respiratory system,Respiratory Diseases
чукотский автономный округ,10,1999,415.1,Chukotka Autonomous Okrug,Diseases of the respiratory system,Respiratory Diseases
российская федерация,11,1999,34.0,Russian Federation,Diseases of the digestive system,Digestive Diseases
центральный федеральный округ,11,1999,24.1,Central Federal District,Diseases of the digestive system,Digestive Diseases
белгородская область,11,1999,23.0,Belgorod Oblast,Diseases of the digestive system,Digestive Diseases
брянская область,11,1999,20.2,Bryansk Oblast,Diseases of the digestive system,Digestive Diseases
владимирская область,11,1999,29.7,Vladimir Oblast,Diseases of the digestive system,Digestive Diseases
воронежская область,11,1999,22.7,Voronezh Oblast,Diseases of the digestive system,Digestive Diseases
ивановская область,11,1999,19.6,Ivanovo Oblast,Diseases of the digestive system,Digestive Diseases
калужская область,11,1999,31.4,Kaluga Oblast,Diseases of the digestive system,Digestive Diseases
костромская область,11,1999,16.3,Kostroma Oblast,Diseases of the digestive system,Digestive Diseases
курская область,11,1999,25.0,Kursk Oblast,Diseases of the digestive system,Digestive Diseases
липецкая область,11,1999,23.7,Lipetsk Oblast,Diseases of the digestive system,Digestive Diseases
московская область,11,1999,17.5,Moscow Oblast,Diseases of the digestive system,Digestive Diseases
орловская область,11,1999,23.2,Oryol Oblast,Diseases of the digestive system,Digestive Diseases
рязанская область,11,1999,19.3,Ryazan Oblast,Diseases of the digestive system,Digestive Diseases
смоленская область,11,1999,21.5,Smolensk Oblast,Diseases of the digestive system,Digestive Diseases
тамбовская область,11,1999,28.6,Tambov Oblast,Diseases of the digestive system,Digestive Diseases
тверская область,11,1999,21.6,Tver Oblast,Diseases of the digestive system,Digestive Diseases
тульская область,11,1999,14.2,Tula Oblast,Diseases of the digestive system,Digestive Diseases
ярославская область,11,1999,40.0,Yaroslavl Oblast,Diseases of the digestive system,Digestive Diseases
г.москва,11,1999,29.9,Moscow,Diseases of the digestive system,Digestive Diseases
северо-западный федеральный округ,11,1999,26.1,Northwestern Federal District,Diseases of the digestive system,Digestive Diseases
республика карелия,11,1999,31.6,Republic of Karelia,Diseases of the digestive system,Digestive Diseases
республика коми,11,1999,28.9,Komi Republic,Diseases of the digestive system,Digestive Diseases
архангельская область,11,1999,38.0,Arkhangelsk Oblast (with AO),Diseases of the digestive system,Digestive Diseases
вологодская область,11,1999,23.9,Vologda Oblast,Diseases of the digestive system,Digestive Diseases
калининградская область,11,1999,74.0,Kaliningrad Oblast,Diseases of the digestive system,Digestive Diseases
ленинградская область,11,1999,17.5,Leningrad Oblast,Diseases of the digestive system,Digestive Diseases
мурманская область,11,1999,25.0,Murmansk Oblast,Diseases of the digestive system,Digestive Diseases
новгородская область,11,1999,34.2,Novgorod Oblast,Diseases of the digestive system,Digestive Diseases
псковская область,11,1999,20.9,Pskov Oblast,Diseases of the digestive system,Digestive Diseases
г.санкт-петербург,11,1999,14.7,Saint Petersburg,Diseases of the digestive system,Digestive Diseases
южный федеральный округ,11,1999,29.6,Southern Federal District,Diseases of the digestive system,Digestive Diseases
республика адыгея,11,1999,15.8,Republic of Adygea,Diseases of the digestive system,Digestive Diseases
республика дагестан,11,1999,39.8,Republic of Dagestan,Diseases of the digestive system,Digestive Diseases
республика ингушетия,11,1999,8.8,Republic of Ingushetia,Diseases of the digestive system,Digestive Diseases
кабардино-балкарская республика,11,1999,20.5,Kabardino-Balkarian Republic,Diseases of the digestive system,Digestive Diseases
республика калмыкия,11,1999,20.5,Republic of Kalmykia,Diseases of the digestive system,Digestive Diseases
карачаево-черкесская республика,11,1999,20.4,Karachay-Cherkess Republic,Diseases of the digestive system,Digestive Diseases
республика северная осетия алания,11,1999,15.5,Republic of North Ossetia-Alania,Diseases of the digestive system,Digestive Diseases
чеченская республика,11,1999,,Chechen Republic,Diseases of the digestive system,Digestive Diseases
краснодарский край,11,1999,29.2,Krasnodar Krai,Diseases of the digestive system,Digestive Diseases
ставропольский край,11,1999,16.6,Stavropol Krai,Diseases of the digestive system,Digestive Diseases
астраханская область,11,1999,21.6,Astrakhan Oblast,Diseases of the digestive system,Digestive Diseases
волгоградская область,11,1999,46.7,Volgograd Oblast,Diseases of the digestive system,Digestive Diseases
ростовская область,11,1999,32.6,Rostov Oblast,Diseases of the digestive system,Digestive Diseases
приволжский федеральный округ,11,1999,44.8,Volga Federal District,Diseases of the digestive system,Digestive Diseases
республика башкортостан,11,1999,118.2,Republic of Bashkortostan,Diseases of the digestive system,Digestive Diseases
республика марий эл,11,1999,40.2,Mari El Republic,Diseases of the digestive system,Digestive Diseases
республика мордовия,11,1999,29.8,Republic of Mordovia,Diseases of the digestive system,Digestive Diseases
республика татарстан,11,1999,25.3,Republic of Tatarstan,Diseases of the digestive system,Digestive Diseases
удмуртская республика,11,1999,45.4,Udmurt Republic,Diseases of the digestive system,Digestive Diseases
чувашская республика,11,1999,36.4,Chuvash Republic,Diseases of the digestive system,Digestive Diseases
кировская область,11,1999,22.8,Kirov Oblast,Diseases of the digestive system,Digestive Diseases
нижегородская область,11,1999,24.6,Nizhny Novgorod Oblast,Diseases of the digestive system,Digestive Diseases
оренбургская область,11,1999,43.5,Orenburg Oblast,Diseases of the digestive system,Digestive Diseases
пензенская область,11,1999,54.1,Penza Oblast,Diseases of the digestive system,Digestive Diseases
пермская область,11,1999,42.4,Perm Oblast,Diseases of the digestive system,Digestive Diseases
самарская область,11,1999,43.3,Samara Oblast,Diseases of the digestive system,Digestive Diseases
саратовская область,11,1999,22.0,Saratov Oblast,Diseases of the digestive system,Digestive Diseases
ульяновская область,11,1999,24.7,Ulyanovsk Oblast,Diseases of the digestive system,Digestive Diseases
уральский федеральный округ,11,1999,38.6,Ural Federal District,Diseases of the digestive system,Digestive Diseases
курганская область,11,1999,55.5,Kurgan Oblast,Diseases of the digestive system,Digestive Diseases
свердловская область,11,1999,23.0,Sverdlovsk Oblast,Diseases of the digestive system,Digestive Diseases
тюменская область,11,1999,66.3,Tyumen Oblast (with AO),Diseases of the digestive system,Digestive Diseases
челябинская область,11,1999,28.7,Chelyabinsk Oblast,Diseases of the digestive system,Digestive Diseases
сибирский федеральный округ,11,1999,37.9,Siberian Federal District,Diseases of the digestive system,Digestive Diseases
республика алтай,11,1999,34.5,Altai Republic,Diseases of the digestive system,Digestive Diseases
республика бурятия,11,1999,23.3,Republic of Buryatia,Diseases of the digestive system,Digestive Diseases
республика тыва,11,1999,21.9,Republic of Tuva,Diseases of the digestive system,Digestive Diseases
республика хакасия,11,1999,39.5,Republic of Khakassia,Diseases of the digestive system,Digestive Diseases
алтайский край,11,1999,43.5,Altai Krai,Diseases of the digestive system,Digestive Diseases
красноярский край,11,1999,25.5,Krasnoyarsk Krai,Diseases of the digestive system,Digestive Diseases
иркутская область,11,1999,33.5,Irkutsk Oblast,Diseases of the digestive system,Digestive Diseases
кемеровская область,11,1999,25.8,Kemerovo Oblast,Diseases of the digestive system,Digestive Diseases
новосибирская область,11,1999,43.7,Novosibirsk Oblast,Diseases of the digestive system,Digestive Diseases
омская область,11,1999,74.2,Omsk Oblast,Diseases of the digestive system,Digestive Diseases
томская область,11,1999,38.1,Tomsk Oblast,Diseases of the digestive system,Digestive Diseases
читинская область,11,1999,35.7,Chita Oblast,Diseases of the digestive system,Digestive Diseases
дальневосточный федеральный округ,11,1999,44.6,Far Eastern Federal District,Diseases of the digestive system,Digestive Diseases
республика саха (якутия),11,1999,33.0,Sakha Republic (Yakutia),Diseases of the digestive system,Digestive Diseases
приморский край,11,1999,59.0,Primorsky Krai,Diseases of the digestive system,Digestive Diseases
хабаровский край,11,1999,25.4,Khabarovsk Krai,Diseases of the digestive system,Digestive Diseases
амурская область,11,1999,12.8,Amur Oblast,Diseases of the digestive system,Digestive Diseases
камчатская область,11,1999,19.6,Kamchatka Oblast,Diseases of the digestive system,Digestive Diseases
магаданская область,11,1999,32.8,Magadan Oblast,Diseases of the digestive system,Digestive Diseases
сахалинская область,11,1999,143.2,Sakhalin Oblast,Diseases of the digestive system,Digestive Diseases
еврейская автономная область,11,1999,21.2,Jewish Autonomous Oblast,Diseases of the digestive system,Digestive Diseases
чукотский автономный округ,11,1999,35.6,Chukotka Autonomous Okrug,Diseases of the digestive system,Digestive Diseases
российская федерация,12,1999,43.3,Russian Federation,Diseases of the skin and subcutaneous tissue,Skin Diseases
центральный федеральный округ,12,1999,41.3,Central Federal District,Diseases of the skin and subcutaneous tissue,Skin Diseases
белгородская область,12,1999,35.5,Belgorod Oblast,Diseases of the skin and subcutaneous tissue,Skin Diseases
брянская область,12,1999,49.6,Bryansk Oblast,Diseases of the skin and subcutaneous tissue,Skin Diseases
владимирская область,12,1999,53.3,Vladimir Oblast,Diseases of the skin and subcutaneous tissue,Skin Diseases
воронежская область,12,1999,30.4,Voronezh Oblast,Diseases of the skin and subcutaneous tissue,Skin Diseases
ивановская область,12,1999,51.8,Ivanovo Oblast,Diseases of the skin and subcutaneous tissue,Skin Diseases
калужская область,12,1999,41.3,Kaluga Oblast,Diseases of the skin and subcutaneous tissue,Skin Diseases
костромская область,12,1999,26.1,Kostroma Oblast,Diseases of the skin and subcutaneous tissue,Skin Diseases
курская область,12,1999,31.2,Kursk Oblast,Diseases of the skin and subcutaneous tissue,Skin Diseases
липецкая область,12,1999,43.0,Lipetsk Oblast,Diseases of the skin and subcutaneous tissue,Skin Diseases
московская область,12,1999,39.5,Moscow Oblast,Diseases of the skin and subcutaneous tissue,Skin Diseases
орловская область,12,1999,50.0,Oryol Oblast,Diseases of the skin and subcutaneous tissue,Skin Diseases
рязанская область,12,1999,41.4,Ryazan Oblast,Diseases of the skin and subcutaneous tissue,Skin Diseases
смоленская область,12,1999,38.8,Smolensk Oblast,Diseases of the skin and subcutaneous tissue,Skin Diseases
тамбовская область,12,1999,32.9,Tambov Oblast,Diseases of the skin and subcutaneous tissue,Skin Diseases
тверская область,12,1999,32.9,Tver Oblast,Diseases of the skin and subcutaneous tissue,Skin Diseases
тульская область,12,1999,40.2,Tula Oblast,Diseases of the skin and subcutaneous tissue,Skin Diseases
ярославская область,12,1999,58.2,Yaroslavl Oblast,Diseases of the skin and subcutaneous tissue,Skin Diseases
г.москва,12,1999,44.1,Moscow,Diseases of the skin and subcutaneous tissue,Skin Diseases
северо-западный федеральный округ,12,1999,42.5,Northwestern Federal District,Diseases of the skin and subcutaneous tissue,Skin Diseases
республика карелия,12,1999,52.3,Republic of Karelia,Diseases of the skin and subcutaneous tissue,Skin Diseases
республика коми,12,1999,60.5,Komi Republic,Diseases of the skin and subcutaneous tissue,Skin Diseases
архангельская область,12,1999,42.4,Arkhangelsk Oblast (with AO),Diseases of the skin and subcutaneous tissue,Skin Diseases
вологодская область,12,1999,45.8,Vologda Oblast,Diseases of the skin and subcutaneous tissue,Skin Diseases
калининградская область,12,1999,29.3,Kaliningrad Oblast,Diseases of the skin and subcutaneous tissue,Skin Diseases
ленинградская область,12,1999,31.0,Leningrad Oblast,Diseases of the skin and subcutaneous tissue,Skin Diseases
мурманская область,12,1999,54.1,Murmansk Oblast,Diseases of the skin and subcutaneous tissue,Skin Diseases
новгородская область,12,1999,41.1,Novgorod Oblast,Diseases of the skin and subcutaneous tissue,Skin Diseases
псковская область,12,1999,28.7,Pskov Oblast,Diseases of the skin and subcutaneous tissue,Skin Diseases
г.санкт-петербург,12,1999,42.5,Saint Petersburg,Diseases of the skin and subcutaneous tissue,Skin Diseases
южный федеральный округ,12,1999,42.3,Southern Federal District,Diseases of the skin and subcutaneous tissue,Skin Diseases
республика адыгея,12,1999,55.2,Republic of Adygea,Diseases of the skin and subcutaneous tissue,Skin Diseases
республика дагестан,12,1999,38.0,Republic of Dagestan,Diseases of the skin and subcutaneous tissue,Skin Diseases
республика ингушетия,12,1999,43.9,Republic of Ingushetia,Diseases of the skin and subcutaneous tissue,Skin Diseases
кабардино-балкарская республика,12,1999,27.5,Kabardino-Balkarian Republic,Diseases of the skin and subcutaneous tissue,Skin Diseases
республика калмыкия,12,1999,44.0,Republic of Kalmykia,Diseases of the skin and subcutaneous tissue,Skin Diseases
карачаево-черкесская республика,12,1999,208.8,Karachay-Cherkess Republic,Diseases of the skin and subcutaneous tissue,Skin Diseases
республика северная осетия алания,12,1999,31.9,Republic of North Ossetia-Alania,Diseases of the skin and subcutaneous tissue,Skin Diseases
чеченская республика,12,1999,,Chechen Republic,Diseases of the skin and subcutaneous tissue,Skin Diseases
краснодарский край,12,1999,35.9,Krasnodar Krai,Diseases of the skin and subcutaneous tissue,Skin Diseases
ставропольский край,12,1999,33.0,Stavropol Krai,Diseases of the skin and subcutaneous tissue,Skin Diseases
